Date	Price	Open	High	Low	Vol.	Change %
5-Nov-22	21,436.50	21,145.70	21,464.70	21,084.10	518.75K	1.37%
4-Nov-22	21,145.90	20,206.40	21,281.90	20,184.60	499.50K	4.65%
3-Nov-22	20,206.40	20,154.00	20,384.50	20,066.60	347.23K	0.26%
2-Nov-22	20,154.40	20,482.90	20,778.30	20,065.80	420.23K	-1.61%
1-Nov-22	20,483.50	20,496.10	20,676.60	20,348.10	302.72K	-0.06%
31-Oct-22	20,496.30	20,626.00	20,822.40	20,260.00	327.47K	-0.63%
30-Oct-22	20,626.30	20,809.40	20,922.30	20,522.50	207.63K	-0.88%
29-Oct-22	20,809.80	20,594.20	21,038.10	20,561.90	276.54K	1.05%
28-Oct-22	20,594.40	20,293.00	20,744.00	20,058.20	318.90K	1.49%
27-Oct-22	20,292.90	20,769.50	20,867.90	20,231.60	365.49K	-2.29%
26-Oct-22	20,769.50	20,086.80	20,981.50	20,062.90	427.99K	3.42%
25-Oct-22	20,082.70	19,331.80	20,406.90	19,249.00	371.54K	3.89%
24-Oct-22	19,331.50	19,571.20	19,588.60	19,177.20	286.94K	-1.22%
23-Oct-22	19,571.20	19,204.80	19,680.90	19,092.50	180.63K	1.91%
22-Oct-22	19,204.80	19,162.60	19,249.90	19,116.10	118.24K	0.22%
21-Oct-22	19,162.60	19,042.90	19,245.50	18,703.30	294.66K	0.63%
20-Oct-22	19,042.90	19,125.10	19,334.50	18,935.60	253.20K	-0.42%
19-Oct-22	19,123.90	19,328.20	19,358.60	19,101.20	209.28K	-1.06%
18-Oct-22	19,328.20	19,548.40	19,692.90	19,102.80	290.07K	-1.13%
17-Oct-22	19,548.20	19,262.20	19,663.50	19,163.60	248.40K	1.49%
16-Oct-22	19,261.90	19,068.80	19,411.90	19,066.00	140.95K	1.01%
15-Oct-22	19,068.70	19,181.70	19,218.70	19,000.80	123.66K	-0.59%
14-Oct-22	19,181.80	19,379.80	19,933.90	19,098.60	400.45K	-1.02%
13-Oct-22	19,379.80	19,154.60	19,494.40	18,207.90	455.13K	1.17%
12-Oct-22	19,154.80	19,058.50	19,212.60	19,010.60	242.18K	0.50%
11-Oct-22	19,059.10	19,134.30	19,261.30	18,868.70	288.57K	-0.39%
10-Oct-22	19,134.60	19,441.70	19,520.70	19,057.00	243.77K	-1.58%
9-Oct-22	19,441.00	19,416.30	19,552.10	19,329.60	127.53K	0.13%
8-Oct-22	19,415.00	19,530.20	19,612.20	19,274.70	113.50K	-0.60%
7-Oct-22	19,531.30	19,962.40	20,051.40	19,352.10	263.50K	-2.13%
6-Oct-22	19,956.70	20,157.50	20,436.70	19,873.70	370.60K	-1.00%
5-Oct-22	20,157.50	20,340.50	20,353.80	19,761.70	352.76K	-0.90%
